epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6234,1.73668,2.9801,1.82308,0.4265,0.46963,0.36933,0.15292,1.84301,2.24953,2.056,0.00033033,0.00033033,0.00033033
2,82.6857,1.61294,2.24127,1.70087,0.68005,0.36175,0.50041,0.22906,1.70668,2.13939,1.74984,0.000663502,0.000663502,0.000663502
3,121.589,1.60757,2.04833,1.68432,0.48848,0.52372,0.50401,0.21931,1.88145,2.26597,2.06433,0.000996023,0.000996023,0.000996023
4,160.274,1.59516,2.00475,1.68582,0.51847,0.49593,0.46633,0.20386,1.78547,2.02766,1.84795,0.000997803,0.000997803,0.000997803
5,198.98,1.55845,1.85201,1.63553,0.70321,0.58397,0.66156,0.33254,1.62325,1.48329,1.82307,0.000996097,0.000996097,0.000996097
6,237.82,1.5381,1.78698,1.63607,0.76113,0.53225,0.61819,0.32244,1.60615,1.50149,1.70833,0.000993906,0.000993906,0.000993906
7,276.868,1.5406,1.74951,1.62383,0.54383,0.74411,0.6449,0.30643,1.70159,1.59892,1.70978,0.000991232,0.000991232,0.000991232
8,316.967,1.51123,1.67711,1.59874,0.75188,0.60435,0.63232,0.33972,1.69653,1.61094,1.72106,0.000988079,0.000988079,0.000988079
9,360.995,1.48728,1.65715,1.589,0.74949,0.50456,0.59843,0.27451,1.64981,1.68054,1.79993,0.000984449,0.000984449,0.000984449
10,406.623,1.48637,1.62427,1.57658,0.79086,0.65007,0.76789,0.42337,1.46495,1.30089,1.55126,0.000980345,0.000980345,0.000980345
11,453.272,1.48008,1.59448,1.58383,0.61648,0.58457,0.5795,0.30318,1.55908,1.67234,1.69966,0.000975773,0.000975773,0.000975773
12,500.813,1.45102,1.57346,1.56762,0.59393,0.65607,0.69213,0.37555,1.40409,1.42737,1.57785,0.000970736,0.000970736,0.000970736
13,548.448,1.45521,1.58386,1.57238,0.65628,0.7857,0.79434,0.42006,1.53539,1.33675,1.64194,0.000965239,0.000965239,0.000965239
14,595.291,1.47171,1.55781,1.56247,0.55356,0.74814,0.69497,0.34417,1.77994,1.54711,1.88538,0.000959289,0.000959289,0.000959289
15,642.223,1.43002,1.51674,1.53945,0.55946,0.76177,0.67143,0.33829,1.61832,1.38106,1.71909,0.000952889,0.000952889,0.000952889
16,688.245,1.45159,1.52157,1.55575,0.61433,0.70694,0.75268,0.40323,1.52425,1.39158,1.615,0.000946048,0.000946048,0.000946048
17,734.787,1.44092,1.4702,1.53618,0.69849,0.64648,0.67272,0.36861,1.52172,1.58929,1.61161,0.000938772,0.000938772,0.000938772
18,778.947,1.41803,1.48451,1.51882,0.5834,0.74741,0.72523,0.40398,1.48205,1.25834,1.60588,0.000931067,0.000931067,0.000931067
19,822.905,1.4291,1.47457,1.53684,0.56462,0.72159,0.75227,0.4129,1.55315,1.34334,1.6021,0.000922942,0.000922942,0.000922942
20,866.765,1.42316,1.45179,1.54124,0.52295,0.73044,0.66419,0.33874,1.60581,1.40122,1.69046,0.000914405,0.000914405,0.000914405
21,909.653,1.42699,1.46831,1.53591,0.64015,0.62312,0.63359,0.31097,1.78694,1.49613,1.82258,0.000905463,0.000905463,0.000905463
22,951.982,1.40132,1.43424,1.52461,0.68007,0.85503,0.82046,0.45325,1.44152,1.23735,1.55024,0.000896127,0.000896127,0.000896127
23,994.151,1.39101,1.42173,1.51177,0.72428,0.78451,0.81144,0.46259,1.46674,1.17242,1.57924,0.000886404,0.000886404,0.000886404
24,1036.39,1.41361,1.43607,1.53048,0.76962,0.70467,0.73846,0.40666,1.51565,1.25924,1.60246,0.000876305,0.000876305,0.000876305
25,1078.3,1.38787,1.37809,1.50459,0.56592,0.75644,0.68838,0.39553,1.57961,1.34875,1.64134,0.000865839,0.000865839,0.000865839
26,1121.83,1.3677,1.36462,1.49363,0.64537,0.67605,0.6919,0.40883,1.42523,1.27782,1.58608,0.000855018,0.000855018,0.000855018
27,1165.95,1.37947,1.39886,1.50749,0.52256,0.75486,0.755,0.42583,1.51861,1.23777,1.6379,0.000843851,0.000843851,0.000843851
28,1209.75,1.36772,1.37102,1.50129,0.51779,0.73142,0.71894,0.41214,1.49801,1.2188,1.5894,0.000832349,0.000832349,0.000832349
29,1255.12,1.36598,1.38118,1.50143,0.68375,0.79648,0.78218,0.45493,1.44264,1.0927,1.5095,0.000820525,0.000820525,0.000820525
30,1300.63,1.37936,1.36739,1.51401,0.61764,0.72295,0.78131,0.45867,1.44617,1.12852,1.54944,0.000808389,0.000808389,0.000808389
31,1345.68,1.38242,1.33844,1.49799,0.64674,0.64774,0.72234,0.40672,1.57332,1.26727,1.67562,0.000795954,0.000795954,0.000795954
32,1391.77,1.3499,1.34575,1.48949,0.69604,0.71546,0.76328,0.4315,1.46608,1.16462,1.55656,0.000783231,0.000783231,0.000783231
33,1437.07,1.37107,1.36449,1.49732,0.68752,0.72254,0.77314,0.45623,1.45871,1.15819,1.56139,0.000770234,0.000770234,0.000770234
34,1482.33,1.35109,1.34497,1.4927,0.86355,0.66032,0.75446,0.43845,1.40551,1.13939,1.52493,0.000756976,0.000756976,0.000756976
35,1528.59,1.34986,1.31594,1.48844,0.69718,0.73398,0.77311,0.43242,1.55425,1.17674,1.58691,0.000743468,0.000743468,0.000743468
36,1573.99,1.36593,1.33961,1.49345,0.63687,0.71493,0.73718,0.41155,1.51303,1.14304,1.61191,0.000729725,0.000729725,0.000729725
37,1618.86,1.33957,1.32385,1.48523,0.68271,0.65199,0.75662,0.43128,1.49555,1.11565,1.57156,0.000715761,0.000715761,0.000715761
38,1663.92,1.31231,1.28847,1.47943,0.70456,0.74732,0.79906,0.46827,1.42534,1.14762,1.53062,0.000701588,0.000701588,0.000701588
39,1708.47,1.32015,1.28585,1.47163,0.63194,0.73095,0.73874,0.40785,1.49483,1.13927,1.59721,0.000687222,0.000687222,0.000687222
40,1753.19,1.33456,1.29084,1.4652,0.59706,0.69358,0.72653,0.43053,1.64552,1.17192,1.70783,0.000672675,0.000672675,0.000672675
41,1797.45,1.31722,1.27202,1.46202,0.82795,0.69077,0.79151,0.44755,1.37971,1.1188,1.51849,0.000657963,0.000657963,0.000657963
42,1841.03,1.30769,1.26481,1.46343,0.66906,0.77804,0.76273,0.45763,1.45038,1.03419,1.53928,0.000643101,0.000643101,0.000643101
43,1887.33,1.31747,1.24672,1.46782,0.76942,0.72111,0.77486,0.40991,1.6424,1.1568,1.67062,0.000628101,0.000628101,0.000628101
44,1934.29,1.30843,1.28154,1.45904,0.92331,0.6219,0.78701,0.43397,1.57015,1.15168,1.59899,0.000612981,0.000612981,0.000612981
45,1980.87,1.29885,1.23573,1.45082,0.56172,0.74417,0.67498,0.35862,1.6122,1.25946,1.73865,0.000597754,0.000597754,0.000597754
46,2026.86,1.30211,1.22919,1.45784,0.58234,0.71685,0.70856,0.41971,1.45547,1.13872,1.53725,0.000582435,0.000582435,0.000582435
47,2072.69,1.28984,1.24281,1.45359,0.58384,0.79882,0.77154,0.42416,1.51613,1.14942,1.60685,0.00056704,0.00056704,0.00056704
48,2117.98,1.2897,1.21393,1.45179,0.9292,0.61903,0.75783,0.4406,1.4363,1.08862,1.57745,0.000551584,0.000551584,0.000551584
49,2163.24,1.27824,1.21331,1.44107,0.85835,0.62524,0.74789,0.42267,1.45528,1.12416,1.59932,0.000536081,0.000536081,0.000536081
50,2210.39,1.26759,1.20547,1.42926,0.87722,0.62595,0.72713,0.40348,1.47612,1.14491,1.55318,0.000520548,0.000520548,0.000520548
51,2257.18,1.27552,1.23696,1.44559,0.65807,0.69066,0.76127,0.40208,1.50201,1.15385,1.56746,0.000505,0.000505,0.000505
52,2303.83,1.27114,1.20605,1.43535,0.9266,0.64416,0.78644,0.42697,1.60201,1.06942,1.62538,0.000489452,0.000489452,0.000489452
53,2349.51,1.25972,1.19286,1.43154,0.88905,0.64438,0.76649,0.45907,1.39541,1.1118,1.53205,0.000473919,0.000473919,0.000473919
54,2392.62,1.26841,1.19555,1.43171,0.63949,0.78897,0.79841,0.44381,1.53138,1.1463,1.62307,0.000458416,0.000458416,0.000458416
55,2434.16,1.25371,1.17216,1.42818,0.61444,0.78335,0.79403,0.45047,1.48087,1.12386,1.56626,0.00044296,0.00044296,0.00044296
56,2475.56,1.24414,1.15504,1.4107,0.60507,0.80982,0.76322,0.43432,1.45392,1.14743,1.55509,0.000427565,0.000427565,0.000427565
57,2519.53,1.23761,1.14856,1.40393,0.70107,0.77409,0.78173,0.45671,1.48879,1.04606,1.57662,0.000412246,0.000412246,0.000412246
58,2561.46,1.24903,1.16559,1.41653,0.94376,0.69,0.77427,0.4266,1.55327,1.07578,1.61932,0.000397019,0.000397019,0.000397019
59,2603.89,1.24581,1.14995,1.41486,0.56309,0.84812,0.7299,0.43984,1.47969,1.08129,1.60573,0.000381899,0.000381899,0.000381899
60,2644.96,1.23397,1.14461,1.4084,0.65194,0.68491,0.78188,0.48225,1.37366,1.02918,1.50168,0.000366899,0.000366899,0.000366899
61,2688.41,1.23316,1.13395,1.40944,0.92564,0.62909,0.79404,0.4623,1.46537,1.04352,1.55798,0.000352037,0.000352037,0.000352037
