epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.421,3.3507,4.61383,4.07838,0.00083,0.22917,0.01469,0.00337,3.27266,4.13901,4.0735,0.00033033,0.00033033,0.00033033
2,257.424,2.82444,4.23083,3.50188,0.86955,0.04902,0.05383,0.0122,2.93396,4.76086,3.56111,0.000663502,0.000663502,0.000663502
3,311.307,2.56945,3.85911,3.09034,0.21255,0.1018,0.0823,0.02075,2.65845,4.00316,3.17786,0.000996023,0.000996023,0.000996023
4,363.872,2.36576,3.59426,2.82556,0.27854,0.19414,0.10333,0.02771,2.4897,4.78738,3.12134,0.000997803,0.000997803,0.000997803
5,416.239,2.22987,3.30759,2.68272,0.26038,0.28679,0.12745,0.03903,2.2558,3.55364,2.79308,0.000996097,0.000996097,0.000996097
6,468.41,2.08995,3.0649,2.5338,0.2494,0.3852,0.28078,0.12741,2.095,2.83617,2.62205,0.000993906,0.000993906,0.000993906
7,521.037,2.02027,2.92087,2.45622,0.40909,0.41479,0.3299,0.14824,2.04614,2.69189,2.53327,0.000991232,0.000991232,0.000991232
8,574.743,1.96156,2.78582,2.38498,0.472,0.36779,0.38414,0.1659,2.02979,2.5548,2.55007,0.000988079,0.000988079,0.000988079
9,661.208,1.90368,2.67425,2.33116,0.55063,0.33126,0.27665,0.11563,2.04109,2.64008,2.55046,0.000984449,0.000984449,0.000984449
10,718.646,1.87245,2.53192,2.28391,0.51007,0.37962,0.38162,0.18676,1.9358,2.22682,2.34182,0.000980345,0.000980345,0.000980345
11,815.898,1.82948,2.47748,2.22857,0.36291,0.45352,0.39849,0.15764,2.04525,2.30683,2.50879,0.000975773,0.000975773,0.000975773
12,915.118,1.79051,2.33886,2.17872,0.54617,0.45467,0.35841,0.1517,1.98643,2.30097,2.41082,0.000970736,0.000970736,0.000970736
13,967.083,1.77257,2.30346,2.15102,0.61754,0.55507,0.64939,0.31554,1.87561,1.86403,2.28879,0.000965239,0.000965239,0.000965239
14,1061.26,1.74862,2.21326,2.12535,0.41883,0.53496,0.50474,0.2535,1.75485,1.96328,2.21027,0.000959289,0.000959289,0.000959289
15,1196.01,1.71954,2.19076,2.09503,0.68388,0.44989,0.55508,0.21699,1.88068,1.82154,2.33363,0.000952889,0.000952889,0.000952889
16,1247.94,1.69898,2.15045,2.08399,0.64685,0.49476,0.51808,0.22327,2.10876,2.04551,2.44095,0.000946048,0.000946048,0.000946048
17,1361.63,1.704,2.09349,2.04588,0.75878,0.52231,0.64279,0.33323,1.70179,1.83952,2.10205,0.000938772,0.000938772,0.000938772
18,1455.69,1.68316,2.06304,2.02331,0.64878,0.60902,0.63707,0.2924,1.90769,1.99429,2.21976,0.000931067,0.000931067,0.000931067
19,1507.7,1.66521,2.04188,2.0094,0.44353,0.62506,0.61278,0.25798,1.92114,1.99676,2.27301,0.000922942,0.000922942,0.000922942
20,1597.11,1.67425,2.02432,2.01969,0.48,0.65117,0.64604,0.33308,1.59151,1.77516,1.97699,0.000914405,0.000914405,0.000914405
21,1718.39,1.62862,1.97288,1.9788,0.53621,0.73292,0.64113,0.29578,1.77703,1.66054,2.16349,0.000905463,0.000905463,0.000905463
22,1774.98,1.6437,1.95054,1.97979,0.53329,0.73638,0.656,0.34441,1.70652,1.55031,1.99044,0.000896127,0.000896127,0.000896127
23,1859.1,1.61642,1.90705,1.95282,0.49105,0.6754,0.66345,0.34267,1.60315,1.62242,2.00666,0.000886404,0.000886404,0.000886404
24,1961.8,1.63392,1.93011,1.97284,0.75018,0.39911,0.57578,0.23832,1.90206,1.91296,2.26038,0.000876305,0.000876305,0.000876305
25,2013.97,1.612,1.89377,1.95788,0.7457,0.51158,0.62871,0.3155,1.69725,1.61202,1.98886,0.000865839,0.000865839,0.000865839
26,2066.93,1.5771,1.8475,1.92408,0.6808,0.6266,0.70773,0.37254,1.63095,1.49649,1.98068,0.000855018,0.000855018,0.000855018
