epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.474,3.35623,4.61391,4.0875,0.00079,0.22917,0.03661,0.00529,3.31993,4.16242,4.07613,0.00033033,0.00033033,0.00033033
2,305.292,2.84157,4.24503,3.5178,0.89538,0.03922,0.04432,0.00739,2.75668,4.14968,3.42431,0.000663502,0.000663502,0.000663502
3,359.892,2.564,3.96448,3.09367,0.00745,0.66978,0.02934,0.01089,2.52386,3.80841,3.11069,0.000996023,0.000996023,0.000996023
4,454.977,2.35627,3.62108,2.80813,0.31857,0.30592,0.15825,0.05615,2.63902,4.73571,3.29658,0.000997803,0.000997803,0.000997803
5,539.269,2.2306,3.34104,2.67858,0.23687,0.38655,0.24297,0.09286,2.1838,3.10338,2.73708,0.000996097,0.000996097,0.000996097
6,592.567,2.08988,3.06162,2.51322,0.37187,0.3254,0.25087,0.10168,2.10965,2.86779,2.71108,0.000993906,0.000993906,0.000993906
7,676.123,2.02715,2.89247,2.43568,0.56882,0.30476,0.32563,0.12528,2.14231,2.67721,2.58643,0.000991232,0.000991232,0.000991232
8,788.287,1.93479,2.73338,2.34162,0.45645,0.42555,0.40292,0.19636,1.9597,2.34109,2.40479,0.000988079,0.000988079,0.000988079
9,880.271,1.89211,2.63036,2.30626,0.53437,0.38697,0.46607,0.21329,1.96383,2.23701,2.37929,0.000984449,0.000984449,0.000984449
10,979.497,1.86247,2.54338,2.26746,0.34095,0.48744,0.43433,0.17157,2.00314,2.523,2.43295,0.000980345,0.000980345,0.000980345
11,1065.79,1.81515,2.49001,2.21773,0.41589,0.35387,0.35546,0.13364,2.11913,2.80176,2.65095,0.000975773,0.000975773,0.000975773
12,1201.68,1.8027,2.37709,2.1982,0.4748,0.44426,0.42202,0.19188,1.93186,2.21351,2.34837,0.000970736,0.000970736,0.000970736
13,1254.79,1.76231,2.33383,2.15301,0.51029,0.66484,0.52604,0.20585,1.87523,2.01565,2.40195,0.000965239,0.000965239,0.000965239
14,1353.9,1.73894,2.23247,2.12367,0.60572,0.56513,0.61638,0.26267,1.77099,1.89275,2.16714,0.000959289,0.000959289,0.000959289
15,1427.54,1.72276,2.20473,2.09461,0.50468,0.65805,0.59556,0.25122,1.85361,1.86531,2.21095,0.000952889,0.000952889,0.000952889
16,1480.71,1.70925,2.17634,2.09082,0.71546,0.49781,0.52124,0.23066,1.99422,2.12435,2.31448,0.000946048,0.000946048,0.000946048
17,1593.64,1.68874,2.09722,2.05156,0.34457,0.28739,0.37941,0.14903,2.01266,2.79412,2.49266,0.000938772,0.000938772,0.000938772
18,1693.11,1.6821,2.07388,2.03428,0.53894,0.64645,0.63364,0.29631,1.73969,1.77997,2.09445,0.000931067,0.000931067,0.000931067
19,1813.96,1.68465,2.07246,2.02703,0.57414,0.62946,0.61416,0.33953,1.64055,1.8663,2.0194,0.000922942,0.000922942,0.000922942
20,1905.51,1.65972,2.02298,2.00921,0.62655,0.55051,0.55509,0.25881,1.77369,1.73469,2.15758,0.000914405,0.000914405,0.000914405
21,2025.76,1.62831,1.98823,1.99398,0.80911,0.54715,0.61725,0.28676,1.80914,1.73979,2.14572,0.000905463,0.000905463,0.000905463
22,2078.9,1.63011,1.95601,1.97761,0.62873,0.65915,0.71262,0.34565,1.70023,1.5642,2.03769,0.000896127,0.000896127,0.000896127
23,2132.13,1.62483,1.94449,1.95763,0.7547,0.62126,0.72855,0.34161,1.58723,1.58934,1.99607,0.000886404,0.000886404,0.000886404
24,2238.7,1.5966,1.89968,1.95265,0.63908,0.62898,0.66907,0.31857,1.73884,1.50829,2.07286,0.000876305,0.000876305,0.000876305
25,2330.57,1.60605,1.8971,1.96849,0.49711,0.7435,0.64988,0.35215,1.57594,1.47466,1.96662,0.000865839,0.000865839,0.000865839
26,2383.63,1.58957,1.87634,1.93795,0.78005,0.46104,0.5958,0.28459,1.71014,1.93069,2.0933,0.000855018,0.000855018,0.000855018
27,2467.28,1.58266,1.86259,1.92379,0.58514,0.69429,0.7592,0.39042,1.64596,1.41751,2.01315,0.000843851,0.000843851,0.000843851
28,2520.61,1.56392,1.82307,1.92279,0.59801,0.61346,0.60498,0.31814,1.64612,1.54867,2.0108,0.000832349,0.000832349,0.000832349
29,2573.92,1.57578,1.82187,1.91231,0.64498,0.57366,0.6714,0.31534,1.69752,1.60551,2.02341,0.000820525,0.000820525,0.000820525
30,2626.94,1.56707,1.82663,1.90973,0.58519,0.58536,0.60536,0.27261,1.87582,1.72863,2.17953,0.000808389,0.000808389,0.000808389
